name,brand,quantity,unit,notes
Mango Cran Snack Medley,Ocean Spray,1,pkg,
Mini Pretzel Twists Original,Good & Gather,1,pkg,
Fruit Snacks Berries & Cherries,Welch's,1,pkg,
Fruit 'n Yogurt Snacks Strawberry,Welch's,1,pkg,20-ct value pack
Hard Candy Zero Sugar,Jolly Rancher,1,pkg,"6.1 oz; watermelon, grape, apple & raspberry"
Hard Candy Original,Jolly Rancher,1,pkg,6.5 oz; fruit punch
Craisins Dried Cranberries 50% Less Sugar,Ocean Spray,1,pkg,
Dill Pickle Sunflower Seeds,BIGS,1,pkg,
Spicy Dill Pickle Sunflower Seeds,BIGS,1,pkg,
Dill Pickle Jumbo Sunflower Seeds,David,1,pkg,
Duos Mango/Jalapeño Beef Jerky,Jack Link's,1,pkg,
Chile Lime Steak Slices,Wild River,1,pkg,3 oz; zero sugar
Dry Roasted Sunflower Kernels,Planters,1,pkg,
Dry Roasted Peanuts Lightly Salted,Planters,1,pkg,
Raw Whole Almonds,Good & Gather,1,pkg,10.5 oz
Roasted Unsalted Peanuts,H-E-B Texas Roots,1,pkg,16 oz
Little Bites Blueberry Muffins,Entenmann's,6,pkg,Individual snack packs
Little Bites Tropical Pineapple,Entenmann's,2,pkg,
Chocolate Squares Milk Choc Caramel Waffle Cone,Ghirardelli,1,pkg,Crunchy
Snickers Pecan,Snickers,2,count,1.41 oz bars
Turkish Moonbites,,1,pkg,
Chocolate Covered Espresso Beans,Trader Joe's,1,pkg,2.5 oz
Original Popping Corn,Orville Redenbacher's,1,pkg,
Blueberry Crumble Granola,Good & Gather,1,pkg,11 oz
Mixed Berry Granola,Good & Gather,1,pkg,12 oz
Wildly Delicious Granola Triple Punch,Bear Naked,1,pkg,46.5 oz
Healthy Grains Peanut Butter Clusters Granola,KIND,2,pkg,17 oz each
Honey Roasted Pecans & Cranberries,Mrs. Cubbison's,1,pkg,3.25 oz
Salad Topper Cranberries & Pecans,Good & Gather,1,pkg,
Salad Toppins Crunchy & Flavorful,McCormick,1,pkg,
Crispy Onions,Fresh Gourmet,1,pkg,3.5 oz
Breakfast Blend K-Cups,Starbucks,2,pkg,
Classic Roast K-Cups,Folgers,1,pkg,
Cinnamon Bun K-Cups,Good & Gather,1,pkg,16 ct
Blueberry Bliss K-Cups,Café Olé,1,pkg,12 ct; medium roast
Caramel Coconut K-Cups Commemorative,Café Olé,1,pkg,12 ct
Original Blend Ground Coffee,Monkey Brew,1,pkg,30 servings; mushroom coffee
Iced Coffee Blend Vanilla K-Cups,Starbucks,1,pkg,10 ct
Coffee Creamer Pods Caramel,International Delight,2,pkg,Total Delight pods
Stevia Leaf Sweetener Packets,Truvia,1,pkg,40 ct
Organic Awake English Breakfast Tea,Tazo,1,pkg,36 ct
Regenerative Organic Awake English Breakfast Black Tea,Tazo,1,pkg,16 bags
Passion Herbal Tea,Tazo,1,pkg,
Blackcurrant Burst Black Tea,Ahmad Tea,1,pkg,
Lemon Zinger Herbal Tea,Celestial Seasonings,1,pkg,Caffeine free
Sleepytime Tea,Celestial Seasonings,1,pkg,
Sleepytime Extra Tea,Celestial Seasonings,1,pkg,
Ginger Peach Turmeric Herbal Tea,Bigelow,1,pkg,18 ct; caffeine free
Organic Throat Coat Tea,Traditional Medicinals,1,pkg,
Black Cask Bourbon Smoky Black Tea,Harney & Sons,1,pkg,Tin; 20 sachets
Cherry Blossom Green Tea,Harney & Sons,1,pkg,Tin
Half & Half Iced Tea & Lemonade K-Cups,H-E-B,1,pkg,12 ct
Clear Protein Strawberry Lemonade,SEEQ,1,pkg,"22g protein, zero sugar"
Kencko Smoothie Powder,Kencko,1,pkg,
Pineapple Pepper Sauce,D'Yanya's,1,count,
Mango Pepper Sauce,D'Yanya's,2,count,
Bahamian Tamarindo Hot Sauce,D'Yanya's,1,count,
Ponzu Sauce,Kikkoman,1,count,
Louisiana Hot Sauce,Louisiana,1,count,
Tiger Sauce,Tiger,1,count,
BBQ Sauce,Baby Ray's,1,count,
Original Teriyaki Marinade & Sauce,Kikkoman,1,count,
Pepper Sauce,Tabasco,1,count,2 oz
Grated Parmesan Cheese,Kraft,1,count,
Spicy Al Pastor Mexican-Style BBQ Sauce,Tenayo,1,count,14.5 oz
Spicy Chili Crisp,,1,count,
Ole Garlic Crisp Dipping Sauce,,1,count,6.5 oz
Natural Creamy Peanut Butter,Jif,2,count,
Traditional Basil Pesto,Classico,1,count,
Creamy Cajun-Inspired Cooking Sauce,H-E-B Select,1,count,
Butter Chicken Cooking Sauce,H-E-B,1,pkg,9 oz; gluten free
Restaurant Style Salsa Medium,Herdez,2,count,Roasted Salsa Verde
Restaurant Style Salsa Medium,Tostitos,1,count,
Restaurant Style Salsa Medium,H-E-B Select,1,count,
Teriyaki Marinade,Lawry's,1,count,12 oz; 5 min marinade
Caribbean Jerk Marinade,Lawry's,1,count,5 min marinade
